,username,ip_address,product,price,infos,currency,egg,fish,gluten,milk,mustard,peanut,soja,sugar,country,price in $
0,ldrover0,666.666.666.666,Clam - Cherrystone,712.8, sugar,,0,0,0,0,0,0,0,1,,712.8
1,kizakov1,nope,Soup - Campbells Bean Medley,379.26, peanut fish,,0,1,0,0,0,1,0,0,,379.26
2,abromet2,240.177.79.234,Island Oasis - Lemonade,305.96, mustard fish,,0,1,0,0,1,0,0,0,,305.96
3,kkarolowski3,26.191.237.49,"Water - Mineral, Natural",350.15, gluten,USD,0,0,1,0,0,0,0,0,US,350.15
4,mbuckney4,58.90.204.239,Radish - Pickled,949.79, sugar egg fish,JPY,1,1,0,0,0,0,0,1,JP,8.75
5,bsnozzwell5,226.52.32.70,Oil - Sesame,354.33, sugar milk,,0,0,0,1,0,0,0,1,,354.33
6,afairholme6,127.197.204.119,Chicken - Tenderloin,484.83, sugar,,0,0,0,0,0,0,0,1,,484.83
7,avowdon7,189.169.17.54,Dc Hikiage Hira Huba,111.56, sugar,MXN,0,0,0,0,0,0,0,1,MX,5.81
8,epridham8,187.129.113.105,Dried Figs,88.05, sugar milk fish,MXN,0,1,0,1,0,0,0,1,MX,4.59
9,tkendrew9,22.32.234.215,Pop - Club Soda Can,861.25, peanut sugar milk fish,USD,0,1,0,1,0,1,0,1,US,861.25
10,cjagielaa,75.254.207.163,Cinnamon Rolls,966.34, peanut sugar egg fish,USD,1,1,0,0,0,1,0,1,US,966.34
11,jdolbeyb,17.105.113.72,Wine - Ice Wine,679.57, mustard sugar milk,USD,0,0,0,1,1,0,0,1,US,679.57
12,chaylandsc,208.239.186.79,Chicken Thigh - Bone Out,725.88, gluten sugar,USD,0,0,1,0,0,0,0,1,US,725.88
13,mvidelerd,116.18.56.20,Trout Rainbow Whole,178.58, peanut,CNY,0,0,0,0,0,1,0,0,CN,25.21
14,jmulvine,87.198.88.207,Bread Crumbs - Panko,150.89, gluten soja sugar milk,EUR,0,0,1,1,0,0,1,1,IE,168.15
15,kcaldeyrouxf,138.44.156.99,Vector Energy Bar,72.51, gluten soja sugar milk,AUD,0,0,1,1,0,0,1,1,AU,49.64
16,ctaftg,18.61.195.234,Versatainer Nc - 888,373.96, soja sugar,USD,0,0,0,0,0,0,1,1,US,373.96
17,ksumptonh,150.214.20.140,Bagel - Ched Chs Presliced,957.7, peanut sugar egg,EUR,1,0,0,0,0,1,0,1,ES,1067.26
18,aloweri,157.197.190.113,Dry Ice,963.32, sugar milk,KRW,0,0,0,1,0,0,0,1,KR,0.82
19,sgarmeyj,219.75.213.15,Nantucket - Kiwi Berry Cktl.,772.7, gluten soja sugar egg fish,JPY,1,1,1,0,0,0,1,1,JP,7.12
20,mjahndelk,225.250.18.162,Gherkin,550.63, soja,,0,0,0,0,0,0,1,0,,550.63
21,chayhurstl,157.145.5.133,Muffin - Bran Ind Wrpd,705.45, soja sugar,USD,0,0,0,0,0,0,1,1,US,705.45
22,rpayntonm,105.123.55.143,"Tart Shells - Savory, 3",135.84, peanut soja sugar,NGN,0,0,0,0,0,1,1,1,NG,135.84
23,ahammelbergn,222.143.75.39,Wine - Manischewitz Concord,658.92, sugar,CNY,0,0,0,0,0,0,0,1,CN,93.02
24,dpico,17.226.242.68,Bread - Pain Au Liat X12,917.69, sugar milk fish,USD,0,1,0,1,0,0,0,1,US,917.69
25,bberntp,201.51.7.205,Extract - Almond,355.46, sugar milk,BRL,0,0,0,1,0,0,0,1,BR,85.44
26,vdeniskevichq,177.248.202.127,Soup Campbells Turkey Veg.,952.08, egg fish,MXN,1,1,0,0,0,0,0,0,MX,49.61
27,apesr,24.1.79.147,Numi - Assorted Teas,770.98, mustard sugar,USD,0,0,0,0,1,0,0,1,US,770.98
28,mheynels,123.157.88.33,Cranberries - Dry,524.1, gluten soja sugar,CNY,0,0,1,0,0,0,1,1,CN,73.99
29,rmackessockt,254.37.135.127,"Bread - Roll, Canadian Dinner",597.95, sugar milk,,0,0,0,1,0,0,0,1,,597.95
30,grommeu,254.21.208.244,Mousse - Mango,709.39, sugar egg fish,,1,1,0,0,0,0,0,1,,709.39
31,dbocockv,134.167.195.239,Bacardi Mojito,269.56, mustard milk fish,USD,0,1,0,1,1,0,0,0,US,269.56
32,mcamousw,140.223.76.83,Beer - Corona,254.98, mustard sugar milk fish,USD,0,1,0,1,1,0,0,1,US,254.98
33,imildnerx,67.232.83.24,"Pasta - Shells, Medium, Dry",328.83, gluten sugar milk,USD,0,0,1,1,0,0,0,1,US,328.83
34,cmilellay,124.100.237.236,Pears - Fiorelle,622.46, soja milk,JPY,0,0,0,1,0,0,1,0,JP,5.73
35,jburdinz,12.218.65.100,Cheese - Cheddarsliced,336.88, gluten,USD,0,0,1,0,0,0,0,0,US,336.88
36,mbelding10,22.73.245.49,Cheese - Ricotta,756.85, gluten sugar,USD,0,0,1,0,0,0,0,1,US,756.85
37,shiers11,191.45.106.36,Juice - Lemon,683.29, peanut milk fish,BRL,0,1,0,1,0,1,0,0,BR,164.24
38,sbaudassi12,47.153.1,Longos - Grilled Veg Sandwiches,524.5, sugar fish,,0,1,0,0,0,0,0,1,,524.5
39,gtingle13,32.112.67.248,Soup - French Can Pea,764.56, soja sugar egg fish,USD,1,1,0,0,0,0,1,1,US,764.56
40,lbadsey14,188.98.203.195,Truffle Paste,353.48, sugar fish,EUR,0,1,0,0,0,0,0,1,DE,393.92
41,gallsepp15,167.174.244.176,Beef Wellington,512.06, soja sugar egg,USD,1,0,0,0,0,0,1,1,US,512.06
42,kbeecheno16,21.124.12.215,Pickle - Dill,763.44, mustard sugar egg,USD,1,0,0,0,1,0,0,1,US,763.44
43,rsedgeman17,190.233.51.35,"Juice - Clam, 46 Oz",512.02, sugar,PEN,0,0,0,0,0,0,0,1,PE,512.02
44,fkillimister18,143.75.128.57,Scallops - Live In Shell,743.2, soja sugar milk,USD,0,0,0,1,0,0,1,1,US,743.2
45,tsaile19,41.63.88.3,Ham - Virginia,789.78, sugar egg,USD,1,0,0,0,0,0,0,1,US,789.78
46,estolz1a,32.77.50.179,Curry Paste - Green Masala,662.6, soja sugar fish,USD,0,1,0,0,0,0,1,1,US,662.6
47,breven1b,201.14.107.40,Water - San Pellegrino,53.8, peanut soja sugar milk,BRL,0,0,0,1,0,1,1,1,BR,12.93
48,tnusche1c,109.144.241.78,Tomatoes - Grape,852.58, peanut sugar fish,GBP,0,1,0,0,0,1,0,1,GB,1099.23
49,ychuter1d,136.251.73.188,"Coconut - Shredded, Unsweet",985.06, peanut mustard sugar milk,USD,0,0,0,1,1,1,0,1,US,985.06
50,dlambdean1e,246.216.13.211,Aspic - Light,110.24, egg,,1,0,0,0,0,0,0,0,,110.24
51,dempson1f,220.115.202.199,"Rum - Spiced, Captain Morgan",342.82, gluten sugar milk,CNY,0,0,1,1,0,0,0,1,CN,48.4
52,gborham1g,180.2.219,Squash - Guords,92.26, sugar egg fish,,1,1,0,0,0,0,0,1,,92.26
53,fsouthey1h,69.135.112.215,Sansho Powder,207.7, peanut soja egg fish,USD,1,1,0,0,0,1,1,0,US,207.7
54,hturbern1i,223.25.136.102,Ham - Virginia,77.98, gluten sugar,JPY,0,0,1,0,0,0,0,1,JP,0.72
55,jmalia1j,6.120.0.29,"Veal - Inside Round / Top, Lean",515.54, soja,USD,0,0,0,0,0,0,1,0,US,515.54
56,rpittendreigh1k,178.154.116.57,Crab - Meat Combo,330.19, peanut sugar fish,BYN,0,1,0,0,0,1,0,1,BY,330.19
57,arichings1l,207.0.191.149,Beef - Sushi Flat Iron Steak,86.64, mustard,USD,0,0,0,0,1,0,0,0,US,86.64
58,vhadingham1m,109.242.195.131,Sloe Gin - Mcguinness,167.6, sugar fish,EUR,0,1,0,0,0,0,0,1,GR,186.77
59,cwrenn1n,38.125.216.233,Cheese - Perron Cheddar,925.05, gluten soja milk,USD,0,0,1,1,0,0,1,0,US,925.05
60,hdulieu1o,35.105.188.50,Kellogs Raisan Bran Bars,537.55, mustard egg fish,USD,1,1,0,0,1,0,0,0,US,537.55
61,iprendiville1p,104.27.157.229,Grouper - Fresh,689.88, peanut,USD,0,0,0,0,0,1,0,0,US,689.88
62,emessum1q,133.56.53.78,Milk - Chocolate 250 Ml,72.36, gluten mustard sugar,JPY,0,0,1,0,1,0,0,1,JP,0.67
63,hbraunes1r,46.14.231.6,Seedlings - Clamshell,260.21, gluten soja sugar,CHF,0,0,1,0,0,0,1,1,CH,263.71
64,hreidshaw1s,104.137.59.250,"Rice Pilaf, Dry,package",992.68, soja sugar egg,USD,1,0,0,0,0,0,1,1,US,992.68
65,dtremouille1t,176.211.210.96,Bacardi Limon,746.54, gluten fish,RUB,0,1,1,0,0,0,0,0,RU,11.67
66,rbeake1u,244.35.187.136,"Pasta - Orzo, Dry",677.81, sugar egg,,1,0,0,0,0,0,0,1,,677.81
67,gbayles1v,40.155.15.190,Wine - Two Oceans Cabernet,130.84, gluten sugar milk fish,USD,0,1,1,1,0,0,0,1,US,130.84
68,lbloxsom1w,336.192.150.109,Cinnamon - Ground,602.35, soja sugar fish,,0,1,0,0,0,0,1,1,,602.35
69,psemechik1x,38.360.77.106,Curry Paste - Madras,976.51, mustard sugar milk fish,,0,1,0,1,1,0,0,1,,976.51
